```
"""Identity of Issuer Borrower Lessor or Similar Party"" ",Principal Amount,Shares,Interest Rate,Maturity Date,Cost,Current Value
CORPORATE BONDS AND DEBENTURES, , , , , , 
1011778 B.C. UNLIMIT,335000, ,5.75,04/15/2025,335462,332387
180 MED INC,250000, ,3.88,10/15/2029,250000,214925
ACI WORLDWIDE INC,350000, ,5.75,08/15/2026,352603,339063
ADAPTHEALTH LLC,300000, ,6.13,08/01/2028,303770,275007
ADAPTHEALTH LLC,555000, ,5.13,03/01/2030,556491,472466
ADVANCED DRAIN SYS I,95000, ,6.38,06/15/2030,95000,92308
ALBERTSONS COS INC/,265000, ,7.5,03/15/2026,275832,270602
ALBION FING 1 SAR,500000, ,6.13,10/15/2026,458310,445905
ALBION FING 1 SAR,200000, ,8.75,04/15/2027,200000,170308
ALTA EQUIPMENT GROUP,565000, ,5.63,04/15/2026,550907,508557
ALTICE FRANCE HLDG S,200000, ,10.5,05/15/2027,159675,152500
ALTICE FRANCE S A,305000, ,8.13,02/01/2027,297868,277818
AMERICAN AIRLINES,1500000, ,11.75,07/15/2025,1552827,1608900
AMERICAN AXLE & MFG,355000, ,6.88,07/01/2028,356257,316500
AMN HEALTHCARE INC,650000, ,4.63,10/01/2027,637330,599346
APOLLO COML REAL EST,465000, ,4.63,06/15/2029,465000,372181
ARAMARK SVCS INC,600000, ,6.38,05/01/2025,605509,592626
ARCHES BUYER INC,160000, ,4.25,06/01/2028,157985,125136
ASBURY AUTOMOTIVE GR,500000, ,4.63,11/15/2029,451421,421320
AUSTIN HOLDCO INC AN,415000, ,7.13,12/15/2028,335206,315126
AVIS BUDGET CAR RENT,100000, ,5.75,07/15/2027,89266,90700
BCPE EMPIRE TOPCO IN,350000, ,7.63,05/01/2027,335028,313873
BRAND ENERGY & INFRA,345000, ,8.5,07/15/2025,347326,275648
BWAY HOLDING COMPANY,765000, ,7.25,04/15/2025,758898,707411
C&W SENIOR FINANCING,200000, ,6.88,09/15/2027,199310,186000
CAESARS ENTERTAINMEN,400000, ,6.25,07/01/2025,402300,388672
CCO HLDGS LLC/CCO,500000, ,5.5,05/01/2026,505003,484050
CCO HLDGS LLC/CCO,450000, ,4.25,01/15/2034,362542,332122
CCO HLDGS LLC/CCO,500000, ,4.75,02/01/2032,500000,405350
CCO HLDGS LLC/CCO,135000, ,6.38,09/01/2029,135000,126865
CENTENE CORP DEL,920000, ,4.63,12/15/2029,881030,840733
CHART INDS INC,45000, ,7.5,01/01/2030,44397,45238
CHART INDS INC,50000, ,9.5,01/01/2031,49800,51280
CINEMARK USA INC,150000, ,5.88,03/15/2026,154062,124944
CINEMARK USA INC,855000, ,5.25,07/15/2028,836108,634914
CLEAN HARBORS INC,65000, ,4.88,07/15/2027,60840,61587
CLEAR CHANNEL OUTDOO,450000, ,7.75,04/15/2028,391894,328504
CLEARWATER PAPER COR,300000, ,5.38,02/01/2025,296916,291492
CLEARWATER PAPER COR,375000, ,4.75,08/15/2028,381990,329504
CLYDESDALE ACQUISITI,315000, ,6.63,04/15/2029,319270,299486
CLYDESDALE ACQUISITI,585000, ,8.75,04/15/2030,541057,500742
COMMSCOPE FIN LLC,250000, ,8.25,03/01/2027,208750,193750
COMMSCOPE TECHNOLOGI,400000, ,5,03/15/2027,327495,271680
COMMUNITY HEALTH SYS,800000, ,6.88,04/15/2029,817898,411168
COMMUNITY HEALTH SYS,143000, ,5.25,05/15/2030,143000,107828
CONSOLIDATED ENERGY,445000, ,5.63,10/15/2028,446648,378108
CONSTELLIUM SE,350000, ,3.75,04/15/2029,310073,284354
COTY INC,235000, ,6.5,04/15/2026,236227,225600
CP ATLAS BUYER INC,775000, ,7,12/01/2028,794924,575569
CROCS INC,400000, ,4.25,03/15/2029,390500,338840
CROCS INC,250000, ,4.13,08/15/2031,192500,203738
CSC HLDGS LLC,600000, ,4.5,11/15/2031,487231,416286
CVR PARTNERS LP/CVR,790000, ,6.13,06/15/2028,801044,708717
DARLING INGREDIENTS,690000, ,6,06/15/2030,697575,674475
""
```
